turns,victory_status,winner,time,white_rating,black_rating,opening_code
70,1,1,10,1571,1577,A03
36,1,1,10,1580,1617,A03
83,1,0,10,1531,1593,C46
43,1,0,10,1743,1604,C34
89,1,0,10,1604,1614,C48
96,1,1,10,1550,1605,D00
51,1,0,10,1861,1863,B11
20,1,1,10,1620,1607,A00
50,0,1,10,1621,1496,B30
98,1,1,10,1633,1581,C41
106,0,1,10,1623,1623,C60
19,1,0,10,1612,1614,C50
22,1,0,10,1605,1624,C50
69,1,1,10,1631,1684,B50
34,0,1,10,1636,1619,C53
40,0,1,10,1613,1617,C57
108,1,1,10,1627,1495,C50
27,1,0,10,1480,1643,C23
63,1,0,10,1631,1652,B30
31,1,0,10,1687,1641,C44
71,1,0,10,1630,1638,C55
92,0,1,10,1414,1624,C60
47,0,0,10,1619,1419,C57
56,1,1,10,1629,1659,C42
48,1,0,10,1649,1639,C23
124,1,1,10,1677,1627,A00
49,0,0,10,1705,1636,C45
64,1,1,10,1647,1635,B96
29,1,0,10,1637,1627,C53
45,1,0,10,1626,1631,C50
96,1,1,10,1602,1615,C34
92,1,1,10,1634,1603,C23
40,0,1,10,1611,1591,C50
123,0,0,10,1579,1623,C54
129,0,0,10,1995,1581,A05
120,0,1,10,1589,1569,D92
97,0,0,10,1559,1557,C00
60,1,0,10,1546,1571,A45
57,1,0,10,1550,1567,B21
111,1,0,8,1840,1564,C45
119,1,1,10,1660,1549,A49
33,0,0,10,1534,1678,C41
32,1,0,10,1789,1538,E10
96,1,1,15,1841,1921,C22
40,1,1,10,1780,2132,B90
58,1,1,10,966,1124,B01
118,0,1,10,971,1149,B00
95,0,0,10,1107,961,B00
37,1,1,10,974,1129,D00
80,2,1,10,998,937,C00
78,1,1,10,1016,1126,A00
42,0,1,10,1047,1151,D02
8,2,1,10,998,1016,C44
101,2,0,10,1127,1044,C20
65,2,0,10,1020,1200,D02
60,0,1,10,1069,1071,D02
44,1,1,10,1115,1223,D01
20,1,1,10,1190,1213,D01
41,1,0,10,1337,1337,C40
40,1,1,10,1500,1500,B01
19,0,0,10,1590,1373,B00
50,0,1,10,1377,1667,A00
34,1,1,10,1558,1358,C88
67,1,0,10,1372,1408,C41
125,0,0,8,1382,1414,C01
116,2,1,16,1469,1357,C02
94,1,1,30,1563,1498,C03
37,0,0,20,1612,1450,B13
51,1,0,10,1462,1464,A00
79,0,0,10,1450,1486,C33
83,1,0,10,1439,1418,C33
21,1,0,10,1547,1563,B02
47,1,0,10,1863,1567,B02
38,1,0,10,1559,1423,A40
34,1,1,10,1570,1611,B06
39,1,0,10,1562,1582,B03
48,1,1,10,1579,1841,E00
50,1,1,10,1877,1558,C11
57,1,0,10,1536,1962,A45
29,1,0,10,1653,1522,A80
52,0,1,10,1675,1505,B01
26,0,1,10,1547,1491,B01
59,1,1,10,1507,1399,A40
56,1,1,10,1482,1484,B01
40,1,1,10,1486,1909,A40
31,0,0,10,1919,1488,A11
60,1,1,10,1488,2192,A45
45,1,0,10,1470,1684,D00
17,1,0,10,1586,1473,D02
34,1,0,10,1548,1488,B03
36,0,1,10,1500,1501,A45
62,0,1,10,1509,1487,B05
34,1,1,10,1495,1771,A45
32,1,1,10,1314,1270,D20
45,1,0,10,1170,1179,C21
25,1,0,10,1442,1183,C70
27,1,0,10,1154,974,C41
79,2,0,10,1439,1171,C70
74,0,1,10,1250,1156,A00
92,1,1,10,1164,1263,C70
77,1,0,10,1278,1173,C20
73,2,0,10,1353,1170,C53
110,2,1,10,1114,1027,C00
58,1,1,10,1984,1948,B06
34,1,1,10,1954,2158,B23
115,0,0,10,2100,1960,A45
54,1,1,10,1974,1899,A01
37,1,0,10,2068,1982,B09
81,1,0,10,1959,2028,A01
45,1,0,10,2005,1969,A02
161,0,0,10,1960,1868,A01
88,1,1,10,1964,2287,B00
119,0,0,10,1951,2049,A01
60,1,1,10,2149,1933,A52
34,0,1,10,1599,1929,B01
94,1,1,10,1882,1919,B01
122,0,1,10,1699,1914,B01
44,1,1,10,1916,2285,A01
26,1,1,10,1936,1638,A01
116,1,1,10,1758,1929,B01
31,1,0,10,1265,1957,B00
133,0,0,10,1954,1578,E90
52,2,1,10,1245,1228,C60
70,2,1,10,1287,1099,B20
75,1,0,10,1211,1230,B20
61,0,0,10,1344,1500,B50
52,0,1,10,1456,1604,D20
36,1,1,10,1378,1318,C00
64,1,1,10,1500,1487,D10
86,1,1,10,2306,2405,C46
58,1,1,10,2422,2386,B22
50,1,1,10,2373,2356,B33
62,1,1,10,2325,2338,D02
39,1,0,10,2336,1830,C45
49,1,0,10,2334,1836,C61
43,1,0,10,2329,2017,A67
84,0,1,10,1879,2326,B52
41,1,0,10,2323,1881,C42
48,1,1,10,1622,2322,C47
48,0,1,10,1933,2318,B43
38,1,1,10,1983,2313,A40
41,0,0,10,2312,1663,C62
28,1,1,10,1866,2309,A04
74,1,1,10,1835,2307,D94
29,1,0,10,2300,2041,E20
45,1,0,10,2288,2148,C42
61,0,0,10,2283,1947,D37
19,1,0,10,2275,2016,B17
48,1,1,10,1909,2271,B22
41,1,0,10,2263,2006,E21
30,1,1,10,1293,2263,B02
55,0,0,10,2257,1922,B34
72,1,1,10,2191,2239,B43
78,1,1,10,1380,2239,D30
34,1,1,10,1796,2235,E00
56,0,1,10,1879,2230,B33
49,1,0,10,2217,2059,A99
72,0,1,10,2336,2185,B43
91,0,0,10,1398,1383,D30
35,1,0,10,1387,1399,D10
50,0,1,10,1394,1512,D06
56,1,1,10,1479,1381,B30
37,1,0,10,1371,1374,D30
66,1,1,10,1372,1360,B30
40,1,0,10,1351,1287,C01
32,0,1,20,1209,1265,A00
89,0,0,8,1332,1500,A40
65,1,1,30,1528,1369,D02
37,1,0,30,1231,1545,C66
54,2,1,10,1263,1264,C41
60,1,1,15,1906,1834,E17
122,2,1,15,1841,2015,A43
49,1,0,15,1905,1852,B00
56,0,1,10,1467,1478,A01
59,1,1,10,1479,1454,C45
54,1,1,10,1454,1421,D30
43,1,0,10,1444,1465,A00
34,1,1,10,1387,1457,E90
122,1,1,10,1417,1447,D00
51,0,0,10,1436,1439,D46
62,1,1,10,1455,1081,C57
30,1,1,10,1318,1448,C57
79,2,0,10,1437,1446,B15
32,1,1,10,1448,1436,D02
78,1,1,10,1308,1441,C26
82,1,1,10,1708,1851,D02
23,1,0,15,1224,1332,B21
50,0,1,30,1353,1068,D02
64,1,1,10,1197,1340,B00
43,1,0,10,1348,1381,D02
24,1,1,10,1375,1334,C22
4,1,0,8,1758,1804,A51
30,1,1,8,1815,1889,B00
59,0,0,8,1800,1831,B01
77,1,0,8,1820,1814,A01
76,2,1,8,1830,1809,B01
48,0,1,8,1973,2462,E20
36,1,1,8,2255,2425,D00
112,1,1,8,2208,2421,A02
31,1,1,10,1426,1371,B06
68,1,1,10,1437,1476,C62
42,1,0,10,1719,1679,D35
42,0,1,10,1689,1670,B32
59,1,0,10,1672,1701,B21
80,1,1,10,1695,1923,B94
31,1,1,10,1706,1698,B30
107,2,0,10,1687,1717,D30
93,1,0,10,1696,1722,D00
90,1,1,10,1732,1768,C45
23,1,0,10,1833,1740,C55
118,2,1,10,1433,1737,D00
23,1,0,10,1722,1605,B32
56,0,1,10,1605,1698,A00
71,0,0,10,1690,1613,C00
48,0,1,10,1622,1681,A00
80,1,1,10,1702,1681,C46
33,1,0,10,1568,1696,B32
84,2,1,10,1707,1699,C00
51,1,0,10,1453,1724,C55
47,1,1,10,1735,1733,C60
54,1,1,10,1705,1719,C62
75,2,0,10,1709,1716,B00
89,2,0,10,1694,1825,C41
62,1,1,10,1651,1684,C20
49,1,0,10,1706,1695,B20
67,1,0,10,1683,1717,C41
73,1,0,10,1707,1693,D00
43,1,0,10,1758,1702,D02
70,1,1,10,1713,1709,B38
28,1,1,10,1724,1734,B32
16,1,1,10,1730,1882,B30
52,0,1,10,1680,1789,B00
43,1,0,10,1774,1768,A04
78,1,1,10,1711,1760,B00
105,0,0,10,1713,1609,A01
103,2,0,10,1710,1618,A00
35,1,1,10,1374,1613,C64
45,0,0,10,1603,1539,B07
44,1,1,8,1891,1845,B01
55,1,0,25,1876,1856,B01
27,1,0,10,1864,1449,B01
4,0,1,10,1527,1861,A02
61,1,0,8,1864,1842,B30
66,2,1,8,1853,1853,B01
20,1,1,14,1882,1840,B01
18,1,1,10,1527,1882,C20
4,0,1,10,1527,1882,A02
4,0,1,10,1533,1897,A02
5,0,0,10,1894,1539,A00
26,0,1,10,1545,1890,C20
4,0,1,10,1552,1887,A02
113,1,0,9,2215,1961,C91
125,1,0,9,2215,2191,D12
51,1,0,15,2215,2147,B30
65,1,1,10,1803,2215,E14
29,1,0,10,2210,1805,C41
26,1,1,10,1807,2205,E00
43,1,0,10,2200,1810,C66
33,1,1,10,1805,2195,C00
47,1,0,10,2078,1920,B34
82,1,1,10,2151,2029,C50
47,1,0,10,1986,2009,C11
27,0,0,10,1904,1544,C41
32,0,1,10,1547,1891,C42
90,0,1,20,1950,1926,A06
38,1,0,20,1902,1811,A00
51,1,0,20,1879,1569,A06
41,1,0,20,1805,1749,A04
5,1,0,20,1787,1343,A04
41,0,0,10,1541,1690,C41
28,1,0,10,1567,1551,B22
62,0,1,10,1540,1540,B20
28,1,1,10,1550,1531,C57
123,0,0,10,1534,1467,B01
89,0,0,10,1524,1499,D06
43,1,0,10,1548,1535,B20
44,1,1,10,1545,1554,B15
88,0,1,10,1369,1553,B21
96,1,1,10,1553,1542,B20
120,1,0,10,1543,1553,B20
111,1,0,10,1544,1496,B30
39,0,0,10,1519,1556,D00
93,0,0,10,1545,1559,A21
100,0,1,10,1529,1534,D04
54,1,1,10,1546,1517,A25
32,1,0,10,813,841,C20
86,0,1,10,857,1057,B40
57,0,0,15,1391,875,B00
68,1,0,45,1271,883,B01
95,0,0,10,1203,894,D00
4,1,1,30,1026,1121,D00
44,1,1,8,1057,1240,A40
15,0,0,30,1331,1083,B21
22,1,1,12,1155,1484,B01
58,1,1,20,1222,1351,D00
50,1,1,10,2036,1706,A08
33,0,0,15,2023,1671,A04
30,0,1,15,1675,2008,B57
53,0,0,15,1990,1678,A04
62,1,1,20,1647,1566,D30
119,1,0,10,1613,1694,B50
60,1,1,30,1887,1760,D02
74,0,1,10,1972,1952,A52
61,1,0,10,1960,1950,C42
15,1,0,10,2199,1955,C42
129,2,0,10,1937,2090,C01
25,1,0,10,1951,1664,C01
39,1,0,10,1944,1776,B36
62,2,1,10,1553,1942,B13
19,1,1,10,1236,1941,B10
63,1,0,10,1803,1737,C01
22,1,1,10,1500,1591,C00
43,1,0,10,1582,1494,D15
27,1,0,10,1726,1589,C01
41,0,0,10,1577,1618,A10
30,0,1,10,1577,1534,A20
125,0,0,10,1693,1585,D37
16,1,0,10,1573,1590,A13
53,1,0,10,1597,1583,C00
49,0,0,10,1603,1594,C00
59,1,0,10,1586,1623,A15
86,0,1,10,1592,1783,A20
52,0,1,10,1602,1629,A10
96,0,1,10,1516,1593,C00
114,1,1,10,1475,1585,C00
69,1,0,10,1575,1571,A27
40,0,1,10,1585,1632,A20
92,0,1,8,2035,1961,A56
64,1,1,10,1975,1908,C48
90,1,1,10,1463,1974,A06
70,0,1,10,1997,1480,C22
63,0,0,8,2229,2002,C02
63,0,0,10,1819,2020,B27
75,2,0,10,2014,1827,C48
94,2,1,10,1807,2008,B40
102,1,1,10,2013,2274,A16
87,1,0,10,2008,1744,A11
90,1,1,10,2179,1991,B40
33,1,0,10,1982,1917,A34
52,1,1,10,1749,1977,B40
62,1,1,10,1781,1971,B40
132,0,1,10,1890,2139,C30
55,1,0,10,2131,2018,B45
95,0,0,10,2116,2252,E34
59,1,0,10,1687,1691,D46
86,1,1,10,1689,1668,B21
150,0,1,10,1651,1657,C20
33,2,0,20,1663,1758,B01
76,1,1,10,1654,1918,D53
52,0,1,10,1690,1913,C01
64,1,1,10,1775,1879,A01
47,1,0,10,1873,1651,B01
103,2,0,10,1868,1656,A43
39,1,0,10,1860,1770,B15
50,1,1,10,1748,1852,C00
19,1,1,10,1365,1850,C00
30,1,1,10,1861,1873,B38
35,0,0,10,2004,1881,B40
32,0,1,10,1895,1797,C42
52,1,1,10,1560,1892,B20
132,1,1,10,1901,1993,C41
38,1,1,10,1729,1894,A03
86,0,1,10,1613,1891,B20
72,0,1,10,1784,1897,B40
23,1,0,10,1893,1624,C61
78,1,1,10,1750,1885,D01
45,0,0,10,1882,1602,C62
154,2,1,10,1895,1977,B32
121,1,0,10,1881,1828,C00
75,0,0,10,1868,1824,C00
53,1,0,10,1650,1910,B40
22,1,0,10,1968,1921,B22
51,1,0,10,1907,1946,E77
37,1,0,10,1903,1648,C60
30,1,1,10,1725,1896,B22
89,1,0,10,1894,1506,C41
73,1,0,10,1890,1617,C66
78,0,1,20,1804,1931,B20
48,1,1,30,1005,1140,C46
61,0,0,10,1066,1326,C48
59,0,0,10,1625,1384,C50
10,1,1,20,2313,2168,B00
39,1,0,8,2272,2061,C02
50,1,1,10,2344,2215,C50
66,1,0,10,2109,2247,B13
55,1,0,8,2062,1978,C45
65,0,0,10,1996,1957,B43
72,0,1,10,1968,1882,C54
57,1,0,20,1756,1771,C44
50,1,1,20,1785,1432,C24
98,1,1,20,1286,1502,C77
48,1,1,20,1534,1581,D30
57,0,0,20,1547,1564,C57
75,1,1,20,1602,1502,A00
99,1,0,20,1444,1651,C55
59,1,0,15,1627,1496,C41
69,1,0,15,1604,1446,E71
70,1,1,15,1453,1576,D10
64,0,1,15,1552,1625,C22
70,0,1,20,1810,1473,C20
63,1,0,10,2053,1914,C40
67,1,0,10,2021,1921,C40
40,1,1,10,1930,1979,C20
80,1,1,10,2000,1908,A08
99,0,0,10,1885,1607,B00
120,0,1,10,1776,1821,A43
59,0,0,10,1500,1603,C65
57,1,0,10,1185,1222,A00
72,0,1,10,1230,1334,C41
115,0,0,10,1262,1240,C40
70,0,1,10,1250,1286,C60
29,1,0,10,1133,1264,C40
33,0,0,10,1257,1141,C65
17,0,0,10,1279,1267,C57
19,1,0,10,1315,1264,A25
100,2,1,10,1277,1173,C00
27,0,0,10,1332,1287,C50
75,0,0,10,1194,1308,C48
44,1,1,10,1136,1301,D00
87,0,0,10,1291,1262,C41
29,2,0,10,1286,1083,C42
75,2,0,10,1278,1173,C00
52,0,1,10,1175,1270,D01
40,1,1,10,1173,1262,C20
73,0,0,10,1329,1271,C44
64,1,1,10,1282,1285,C00
52,1,1,10,1235,1272,A00
26,1,1,10,1284,1261,C47
13,1,0,10,1279,1036,C40
104,1,1,10,1239,1269,C20
55,0,0,10,1152,1284,D30
57,0,0,10,1277,1122,C30
97,2,0,10,1264,1327,C78
17,0,0,10,1442,1270,C57
23,0,0,10,1260,1233,C72
72,0,1,10,1268,1392,C62
34,1,1,10,1259,1417,C70
56,0,1,15,1263,1587,B34
29,0,0,10,1783,1249,C68
19,1,1,10,1257,1380,C41
144,0,1,10,1265,1366,B52
47,0,0,10,1247,1380,C45
97,0,0,10,1313,1360,C46
31,1,0,30,1563,1318,B32
30,0,1,9,1327,1420,B20
87,0,0,9,1412,1337,A10
54,1,1,10,1787,1749,C41
40,1,1,10,1802,1691,C00
18,1,0,10,1799,1408,B10
137,0,0,10,2019,1805,C05
38,0,1,10,1812,1949,C56
73,0,0,10,1757,1825,D06
141,0,0,10,2150,1829,C00
124,1,1,10,1766,1819,C05
76,0,1,10,1827,1933,B20
50,1,1,10,1834,1994,B12
48,0,1,10,1590,1829,C02
76,0,1,10,1844,1731,C55
55,1,0,10,1723,1859,C00
67,1,0,10,1853,1675,C55
98,0,1,10,1834,1848,D00
48,1,1,10,1804,1837,C00
86,1,1,10,1850,1811,C55
47,1,0,10,1834,1856,C00
104,0,1,10,1526,1830,C02
168,0,1,10,1843,1818,D00
154,2,1,10,1844,1713,B32
73,0,0,10,1728,1859,A01
26,1,1,10,1865,2076,B35
79,0,0,10,2096,1870,C00
71,0,0,10,1860,1800,B32
102,0,1,10,1610,1856,C00
75,2,0,10,1846,1778,B90
23,1,0,10,1842,1300,C55
34,0,1,10,1862,1556,C50
78,0,1,10,1865,1850,C05
69,1,1,10,1785,1840,A40
74,1,1,10,1771,1831,A40
56,0,1,10,1844,1793,C55
78,1,1,10,1848,2098,B33
74,2,1,10,1789,1838,C00
27,1,0,10,1820,2095,B07
60,0,1,10,1891,1805,C02
79,1,0,10,1785,2116,B07
49,1,0,10,1769,1926,C55
40,1,0,10,1967,1775,C00
56,2,1,10,1711,1766,A02
41,0,0,10,1754,1768,B32
51,1,0,10,1756,1765,D30
60,1,1,10,1778,1757,C00
50,1,1,20,1243,1200,C40
66,0,1,15,1253,1262,C46
51,1,0,15,1227,1303,D00
53,1,0,15,1214,1115,D00
50,0,1,10,1453,1466,C02
53,1,0,10,1414,1182,C60
59,0,0,10,1171,1432,A29
88,1,1,10,1567,1698,C15
105,2,0,10,1397,1394,E61
56,1,1,10,1405,1402,A04
53,1,0,10,1430,1416,C23
91,0,0,10,1467,1426,B54
56,1,1,30,1464,1413,A00
7,1,1,10,1154,1191,A40
24,1,1,10,1159,1474,D15
23,0,0,10,1217,1176,B20
20,1,1,10,1205,1257,A41
122,2,1,10,1210,1183,C20
98,0,1,15,1753,1451,D02
35,0,0,15,1699,1457,D02
75,0,0,25,1500,1545,D02
122,0,1,10,1364,1356,B07
8,2,1,10,1374,1385,C40
90,2,1,10,1324,1365,C45
46,0,1,10,1376,1370,C10
29,1,1,10,1340,1366,A00
51,0,0,10,1278,1380,C46
94,2,1,10,1388,1238,C55
129,2,0,10,1301,1401,A04
129,2,0,10,1390,1423,C41
38,0,1,10,1403,1321,C40
68,1,1,10,1384,1393,D00
56,1,1,10,1403,1387,C00
88,0,1,10,1381,1393,A04
86,0,1,10,1405,1362,B01
57,1,0,10,1397,1327,C41
13,1,0,10,1374,1408,A00
82,1,1,10,1414,1594,B02
63,0,0,10,1306,1429,D00
40,1,1,10,1423,1610,C55
42,1,0,10,1463,1432,A00
50,1,0,10,1440,1443,E20
25,0,0,10,1432,1456,C57
88,0,1,10,1437,1635,C00
62,1,1,10,1412,1427,B20
48,0,1,10,1443,1415,B34
30,1,1,10,1418,1404,C44
110,0,1,10,1261,1397,D00
60,0,1,10,1406,1458,B40
39,0,0,10,1349,1419,C46
63,1,0,10,1412,1305,D20
40,0,1,10,1424,1356,D20
15,1,0,10,1413,1434,A40
47,0,0,10,1408,1184,B07
44,1,0,10,1500,1414,C20
86,1,1,10,1343,1406,C00
73,1,0,10,1697,1592,B00
80,0,1,10,1693,2287,B02
41,0,0,10,1596,1711,C23
94,0,1,10,1721,1754,B50
63,1,0,10,1721,1857,C40
80,2,1,10,1735,1649,C40
116,2,1,10,1643,1722,C42
130,0,1,10,1228,1732,C20
73,1,0,10,1716,1856,C66
93,1,0,10,1710,1712,B95
94,2,1,10,1828,1694,D10
33,1,0,10,1685,1609,B10
49,0,0,10,1477,1189,D00
82,0,1,10,1476,1474,D02
88,0,1,30,1037,1669,B20
33,0,0,10,1147,1121,B00
69,0,0,10,1209,1261,C42
70,0,1,10,1500,1473,C25
74,1,0,8,2352,2366,C40
161,0,0,8,2351,2363,B50
35,1,0,10,1367,1343,B07
52,1,1,10,1361,1370,C41
66,1,1,10,1327,1343,C50
111,0,0,10,1347,1186,C46
27,0,0,10,1334,1400,C00
19,1,1,10,1348,1322,C34
27,1,1,10,1329,1466,B20
25,0,0,10,1295,1821,C44
102,1,1,10,1329,1282,D07
60,0,1,10,1285,1598,C27
62,0,1,10,1099,1279,D00
61,0,0,10,1350,1285,D07
63,0,0,10,1383,1286,C46
50,0,1,10,1297,1313,C50
26,0,1,10,1273,1286,C50
33,0,0,10,1282,1018,C42
17,0,0,10,1231,1295,C57
32,1,1,10,1306,1298,C50
92,2,1,10,1195,1298,A00
47,0,0,10,1383,1307,C40
25,1,0,10,1296,1284,B23
71,0,0,10,1600,1300,C22
57,0,0,10,1282,1492,C41
17,0,0,10,1264,1367,C50
51,0,0,10,1393,1272,D01
24,0,1,10,1278,1474,C41
39,1,0,10,1267,1370,B01
49,0,0,10,1349,1276,C20
40,0,1,10,1285,1383,C00
95,0,0,10,1526,1290,A00
45,0,0,10,1460,1296,D00
64,0,1,10,1299,1647,B20
51,1,0,10,1279,1625,C46
53,0,0,8,1500,1509,C26
25,0,0,10,2165,1973,B32
78,1,1,10,2179,2115,A00
52,2,1,10,1857,2176,A56
83,1,0,10,2173,1831,C23
101,1,0,10,2156,2181,B28
37,0,0,10,2175,1983,B84
106,1,1,10,1856,2171,C00
56,0,1,10,2030,2164,B20
124,1,1,10,2179,2090,A40
32,1,1,10,1450,1390,C46
67,1,0,10,1507,1497,C55
42,0,1,10,1511,1490,C68
78,0,1,10,1402,1465,C55
100,1,1,10,1492,1560,B07
64,1,0,10,1558,1526,C23
53,0,0,10,1491,1438,C46
71,1,0,10,1447,1439,B07
41,1,0,10,1455,1506,C20
77,1,0,10,1570,1565,C68
60,1,1,10,1319,1214,C40
54,1,1,10,1278,1308,A10
28,0,1,10,1317,1401,C45
32,1,0,10,1258,1331,B20
65,0,0,10,1320,1291,C40
33,1,1,10,1331,1347,B32
104,1,1,10,1340,1433,D00
73,1,0,10,1336,1292,A40
106,1,1,10,1515,1319,B23
40,0,1,10,1295,1308,B02
45,1,0,10,1295,1321,A40
117,0,0,10,1278,1463,D02
123,0,0,10,1363,1287,A45
45,1,0,10,1275,1287,C44
89,0,0,10,1201,1290,B70
61,0,0,10,784,970,C40
13,1,0,10,1181,978,A10
110,0,1,10,983,1090,A40
105,1,0,10,964,1029,D00
66,0,1,10,1058,943,D00
47,0,0,10,808,973,A00
11,1,0,10,1095,986,B01
62,1,1,10,999,1092,A00
13,1,0,10,912,1024,B01
132,0,1,15,1032,1274,B13
112,0,1,10,1199,1002,D20
20,0,1,10,1029,914,A00
128,0,1,10,1048,1077,A40
33,1,0,10,1082,1070,B01
141,2,0,10,1044,1080,A04
30,1,0,10,1070,1069,B01
63,1,1,30,1099,1326,D00
105,1,0,10,1649,1672,D02
80,1,1,10,1676,1637,C23
39,1,0,10,1711,1645,B00
90,1,1,10,1655,1668,B30
41,1,1,10,1666,1647,C40
69,1,1,10,1645,1655,C50
21,1,1,10,1591,1647,A04
103,0,0,10,1648,1672,C46
79,1,0,10,1595,1660,D31
31,1,0,10,1671,1671,C30
25,1,0,10,1660,1665,C46
31,0,0,10,1682,1670,D06
140,1,1,10,1683,1621,B46
148,0,1,10,1693,1693,B30
87,0,0,10,1730,1703,C55
41,1,0,10,1799,1711,D06
90,1,1,10,1686,1701,C62
47,1,1,10,1711,1724,C46
97,0,0,10,1701,1680,C00
101,1,0,10,1964,1705,C23
108,0,1,10,1720,1566,C40
132,1,1,10,1728,1798,C42
94,0,1,10,1755,1717,C50
43,1,0,10,1704,1775,C48
61,1,0,10,1772,1713,C55
41,1,0,10,1699,1800,C48
64,1,1,10,1610,1691,C60
61,0,0,10,1679,1730,B40
58,1,1,10,1576,1671,C20
33,0,0,10,1661,1675,C00
54,0,1,10,1661,1618,B44
60,1,1,10,1748,1647,C50
141,0,0,10,1637,1661,B30
57,1,1,10,1540,1629,C34
127,1,0,10,1620,1549,C48
103,0,0,10,1535,1634,C25
71,0,0,10,1347,1268,A00
100,1,1,25,1420,1620,C30
35,1,0,10,1576,1539,C44
29,0,0,10,1191,1598,C20
41,2,0,10,1595,1223,C41
95,2,0,10,1301,1616,C41
79,2,0,10,1611,1371,C44
46,0,1,10,1383,1606,C22
81,1,1,10,1498,1597,C45
69,1,1,10,1355,1592,C27
76,2,1,10,1593,2216,B06
108,0,1,10,1532,1583,C41
75,0,0,10,1569,1349,C60
87,2,0,10,1728,1576,A53
111,2,0,10,1560,1686,B00
40,1,0,10,1550,1482,C02
60,1,1,10,1553,1953,C60
109,0,0,10,1775,1558,C77
31,0,0,10,1549,1570,C44
60,0,1,10,1577,1874,C41
52,0,1,10,1276,1573,D00
87,1,1,10,1585,1569,B00
63,2,0,10,1575,1281,C40
80,2,1,10,1585,1697,B23
71,2,0,10,1574,1561,C41
174,0,1,10,1528,1564,C68
123,2,0,10,1651,1573,C46
99,0,0,10,1569,1298,C41
114,0,1,10,1390,1201,C00
57,0,0,10,1349,1403,E20
29,0,0,10,1418,1415,C20
45,0,0,10,1403,1403,C50
9,0,0,10,1395,1273,B00
102,0,1,10,1408,1393,C40
52,1,1,10,1232,1371,A00
